,Thi_layer_P,Six_layer_P,Last_layer,PProb_thi,PProb_six,PProb_las,True_labels
240,0,0,0,0.53053814,0.8621796,0.9046234,1
241,1,0,0,0.5145419,0.56606424,0.7008528,1
242,0,0,0,0.529895,0.8150548,0.86295646,1
243,1,0,0,0.537123,0.86197597,0.9047156,1
244,1,0,0,0.51909447,0.80260473,0.86578375,1
245,1,1,1,0.5827572,0.6163316,0.66098624,1
246,1,0,0,0.50390035,0.5857716,0.73407173,1
247,0,0,0,0.50148433,0.75226355,0.8087012,1
248,0,0,0,0.54215467,0.8806722,0.90229887,1
249,1,0,0,0.5044784,0.7061167,0.8147565,1
250,1,0,0,0.51622444,0.92989016,0.92422545,1
251,0,0,0,0.51456714,0.744353,0.83828133,1
252,0,0,0,0.5055974,0.72261,0.7191437,1
253,0,0,0,0.54120344,0.8284536,0.86556894,1
254,1,0,0,0.52358234,0.74500734,0.86241686,1
255,1,0,0,0.5217133,0.575747,0.7995273,1
256,1,1,1,0.5208639,0.67446625,0.51537883,1
257,1,1,1,0.52996355,0.6942981,0.79128075,1
258,1,0,0,0.5257529,0.8006673,0.8037692,1
259,1,0,0,0.53366727,0.63147557,0.76161754,1
260,1,0,0,0.5360917,0.78247577,0.8124705,1
261,0,0,0,0.51230425,0.79101914,0.82992023,1
262,1,0,0,0.5131398,0.84398204,0.8494673,1
263,1,0,0,0.5168431,0.6755423,0.5688879,1
264,0,0,0,0.5038968,0.77652824,0.8078722,1
265,1,0,0,0.51430476,0.7796404,0.8988852,1
266,0,0,0,0.5272531,0.8792798,0.9124165,1
267,1,0,0,0.528809,0.7059494,0.7391046,1
268,1,0,0,0.5160347,0.8793009,0.92886823,1
269,1,0,0,0.503826,0.75965893,0.8830497,1
270,0,0,0,0.5430187,0.88548553,0.92082405,1
271,0,0,0,0.5230126,0.5387543,0.62488633,1
272,0,0,0,0.53489214,0.5600958,0.6988163,1
273,1,0,0,0.50002426,0.8501968,0.9099391,1
274,1,0,0,0.5129689,0.82723707,0.9077308,1
275,0,0,0,0.5253816,0.805582,0.8727009,1
276,1,0,0,0.5173306,0.7937101,0.7886091,1
277,1,0,0,0.5305641,0.6881391,0.7634617,1
278,1,1,1,0.55135524,0.77285296,0.6901756,1
279,1,0,0,0.5240294,0.68634605,0.74484175,1
280,1,1,1,0.5028511,0.6083659,0.58373314,1
281,0,0,1,0.5216896,0.50959617,0.5837091,1
282,0,0,0,0.51880115,0.7437262,0.76530355,1
283,1,0,0,0.56792736,0.5531889,0.6472278,1
284,1,1,0,0.5408673,0.5282388,0.54536134,1
285,1,0,0,0.5214278,0.59906656,0.5262814,1
286,1,0,0,0.51765186,0.8296653,0.8711878,1
287,1,0,0,0.56195533,0.55651444,0.78231156,1
288,1,0,0,0.5182086,0.808579,0.8652841,1
289,1,0,0,0.5563322,0.5104957,0.64357436,1
290,1,0,0,0.56788224,0.8610019,0.89662504,1
291,1,0,0,0.5652326,0.8386295,0.89336836,1
292,1,0,0,0.5404442,0.6285867,0.6121329,1
293,1,0,0,0.5219335,0.63889736,0.72149515,1
294,1,0,0,0.50205594,0.6449194,0.7636209,1
295,1,0,0,0.5010607,0.7883459,0.80714405,1
296,1,0,0,0.5487525,0.6578123,0.50260895,1
297,1,0,0,0.5241852,0.821662,0.90619755,1
298,1,0,0,0.5020903,0.7644359,0.82752794,1
299,1,0,0,0.5105581,0.5581671,0.7026183,1
300,1,0,0,0.5103823,0.8974781,0.91760427,1
301,1,1,1,0.5333846,0.67011803,0.57588446,1
302,1,0,0,0.5029623,0.6550727,0.7551068,1
303,0,0,0,0.5326759,0.76805806,0.84896904,1
304,0,1,1,0.5036563,0.5823536,0.5881812,1
305,0,0,0,0.5113041,0.8744496,0.91547096,1
306,0,0,0,0.5004902,0.8077305,0.81210285,1
307,0,0,0,0.50661916,0.81769,0.7977025,1
308,0,0,0,0.5253178,0.85659724,0.9131771,1
309,0,0,0,0.5280945,0.8044993,0.90614456,1
310,1,0,0,0.5174009,0.7205488,0.8422533,1
311,0,0,0,0.53946644,0.7428959,0.8402328,1
312,0,0,0,0.5365876,0.7254433,0.7806719,1
313,1,0,0,0.500657,0.643011,0.75159633,1
314,0,0,0,0.52825046,0.7935553,0.80017465,1
315,0,0,0,0.53434145,0.9002556,0.92045367,1
316,0,0,0,0.52655214,0.87360317,0.9167804,1
317,0,0,0,0.53625804,0.84150976,0.84614354,1
318,0,0,0,0.54382104,0.8124097,0.8454171,1
319,1,0,0,0.545919,0.8286015,0.86518675,1
320,1,0,0,0.54030156,0.5303343,0.6994745,1
321,1,0,0,0.53401136,0.86524194,0.8110643,1
322,1,0,0,0.5071083,0.90617996,0.9227995,1
323,1,0,0,0.52861995,0.809319,0.8709023,1
324,0,0,0,0.51053447,0.7320607,0.7395376,1
325,0,0,0,0.5174964,0.88782793,0.8971444,1
326,1,0,0,0.5038015,0.7824147,0.7699783,1
327,0,0,0,0.5003789,0.7264302,0.7714681,1
328,0,0,0,0.53286636,0.8533939,0.88588965,1
329,1,0,0,0.5004316,0.5947997,0.72911686,1
330,0,0,0,0.5345629,0.7227686,0.76152635,1
331,0,0,0,0.5300507,0.86286473,0.9103081,1
332,1,0,0,0.5283965,0.58501107,0.69926995,1
333,0,0,0,0.50211936,0.80642426,0.8490299,1
334,1,0,0,0.51194704,0.65817374,0.78396034,1
335,1,0,0,0.5284597,0.50893587,0.73645926,1
336,1,0,0,0.52276707,0.5298933,0.62994117,1
337,1,0,0,0.5209669,0.66299826,0.7999639,1
338,0,0,0,0.50040895,0.85217434,0.8546184,1
339,1,1,1,0.577685,0.81099147,0.8134716,1
340,1,0,0,0.5626762,0.59500164,0.72059,1
341,0,0,0,0.5320808,0.6070434,0.6222804,1
342,1,0,0,0.52087694,0.7075698,0.7425169,1
343,1,0,0,0.5467326,0.5763572,0.72303903,1
344,0,0,0,0.50621516,0.86646485,0.90052253,1
345,0,0,0,0.5409143,0.81680274,0.8727813,1
346,0,0,0,0.5534323,0.7380525,0.7937063,1
347,1,0,0,0.5287826,0.5198352,0.63596827,1
348,1,0,0,0.5435136,0.5860682,0.63594675,1
349,0,0,0,0.5132068,0.8670453,0.89007485,1
350,1,0,0,0.5083076,0.77758133,0.8729168,1
351,0,0,0,0.5373037,0.8232139,0.8120901,1
352,1,0,0,0.5302398,0.7545135,0.7989206,1
353,1,0,0,0.5182283,0.7412948,0.789972,1
354,0,0,0,0.523036,0.51324,0.576502,1
355,0,0,0,0.5076476,0.70383,0.8155626,1
356,1,0,0,0.5262678,0.88417035,0.9349622,1
357,0,0,0,0.52102137,0.866877,0.8946089,1
358,1,0,0,0.5064863,0.6845852,0.8288933,1
359,0,0,0,0.54433626,0.88135844,0.90727544,1
360,1,0,0,0.50090784,0.6320212,0.7833435,1
361,0,0,0,0.54397714,0.7252232,0.82813066,1
362,1,1,1,0.51129514,0.5147811,0.5952304,1
363,1,0,0,0.52165246,0.8527979,0.91533625,1
364,1,0,0,0.5080655,0.6206012,0.6928374,1
365,1,0,0,0.5228626,0.6672386,0.7860657,1
366,1,0,0,0.5034623,0.75138444,0.79266393,1
367,0,0,0,0.51941556,0.82412654,0.8781699,1
368,0,0,0,0.5331014,0.8631786,0.9037811,1
369,0,0,0,0.5444087,0.88243103,0.921152,1
370,0,0,0,0.5165018,0.65424067,0.7907138,1
371,0,0,0,0.5257074,0.5442015,0.68807113,1
372,1,0,0,0.51318234,0.5630177,0.744593,1
373,0,0,0,0.51339895,0.70933723,0.8407936,1
374,0,0,0,0.50280285,0.80347425,0.86609036,1
375,1,1,0,0.5217346,0.6363314,0.5151019,1
376,1,0,0,0.51267296,0.6346004,0.6829458,1
377,1,1,0,0.5188262,0.65033257,0.6107463,1
378,0,0,0,0.5154491,0.7145339,0.83500457,1
379,1,0,0,0.5286294,0.6507786,0.8397907,1
380,1,0,0,0.50079083,0.86832273,0.9302546,1
381,1,0,0,0.50823253,0.7986505,0.8391368,1
382,0,0,0,0.5121373,0.8891794,0.9065926,1
383,0,0,0,0.5368657,0.7650078,0.7376009,1
384,0,0,1,0.5193019,0.5027097,0.57266974,1
385,1,0,0,0.5231255,0.85495865,0.88933986,1
386,1,0,0,0.5445943,0.7586021,0.84400177,1
387,1,1,1,0.5539879,0.58413357,0.5897303,1
388,0,0,0,0.50243205,0.82425827,0.8421499,1
389,0,0,0,0.5261898,0.7358934,0.83972335,1
390,1,0,0,0.50457805,0.86172616,0.91252726,1
391,1,0,0,0.5194721,0.8749104,0.87785906,1
392,1,0,0,0.5013034,0.63207394,0.73305243,1
393,1,0,0,0.53376424,0.7369061,0.8360731,1
394,0,1,1,0.52090895,0.55716646,0.5609111,1
395,1,0,0,0.518393,0.8897799,0.9084427,1
396,0,0,0,0.51484865,0.8026454,0.868246,1
397,1,1,0,0.502972,0.533628,0.6322188,1
398,1,0,0,0.5356726,0.9123204,0.92596847,1
399,0,0,0,0.5404756,0.9045171,0.9255237,1
400,1,0,0,0.51352775,0.9213701,0.9371695,1
401,1,0,0,0.5298161,0.5949529,0.76785415,1
402,1,0,0,0.5524443,0.8830607,0.9231477,1
403,1,0,0,0.51524997,0.5146161,0.54161197,1
404,1,0,0,0.50879824,0.8312201,0.85106397,1
405,1,1,0,0.53179884,0.5476339,0.5055002,1
406,1,0,0,0.5178018,0.6383854,0.5256333,1
407,0,0,0,0.50555533,0.897351,0.9118633,1
408,0,0,0,0.5305791,0.6130284,0.64001787,1
409,0,0,0,0.51572585,0.9265423,0.93309444,1
410,1,1,0,0.54788417,0.59911233,0.6022163,1
411,0,0,0,0.5364098,0.8070206,0.88732326,1
412,1,0,0,0.545296,0.8727024,0.8683985,1
413,1,1,0,0.5194309,0.63944674,0.5751239,1
414,0,0,0,0.5168383,0.84953415,0.83251387,1
415,1,0,0,0.5282868,0.7583658,0.7285071,1
416,1,0,0,0.5139975,0.7151762,0.70401525,1
417,0,0,0,0.5274239,0.8255076,0.8699217,1
418,0,0,0,0.53182423,0.8131403,0.8586068,1
419,1,1,1,0.5438692,0.7452113,0.7156278,1
420,1,0,0,0.5013589,0.784383,0.8612548,1
421,0,0,0,0.52205,0.654514,0.6450526,1
422,0,0,0,0.51659524,0.875732,0.8885994,1
423,0,0,0,0.5147673,0.60099715,0.7844257,1
424,0,0,0,0.5102877,0.8718761,0.9069596,1
425,0,0,0,0.51074237,0.8731487,0.8852964,1
426,0,0,0,0.55407655,0.84781194,0.8721212,1
427,1,0,0,0.5025392,0.76021683,0.7933741,1
428,0,0,0,0.51930326,0.911019,0.9328229,1
429,0,0,0,0.5393828,0.7918369,0.86912835,1
430,0,0,0,0.5283613,0.6375901,0.63074416,1
431,1,0,0,0.52309275,0.7469391,0.8505863,1
432,0,0,0,0.5103807,0.8896192,0.9388205,1
433,1,0,0,0.55885375,0.67221224,0.78292054,1
434,0,0,0,0.5172798,0.7961968,0.8329937,1
435,0,0,0,0.548243,0.9042869,0.9216566,1
436,1,0,0,0.5240128,0.8958947,0.92026746,1
437,0,0,0,0.53548896,0.90275395,0.9246322,1
438,0,0,0,0.51596045,0.7542714,0.8074609,1
439,0,0,0,0.52197176,0.8664062,0.9116785,1
440,1,1,1,0.5081836,0.54708487,0.52278733,1
441,1,1,1,0.5839268,0.5093195,0.54258645,1
442,1,0,0,0.5446243,0.7414404,0.80154127,1
443,1,0,0,0.5502482,0.53298354,0.56531596,1
444,0,0,0,0.51291555,0.78127104,0.80136454,1
445,1,0,0,0.5032431,0.84315157,0.90564674,1
446,1,1,0,0.5120707,0.52587575,0.6533541,1
447,0,0,0,0.5030001,0.7211654,0.8823736,1
448,1,0,0,0.51914763,0.76252866,0.83489126,1
449,0,0,0,0.54773,0.8719085,0.9139461,1
450,0,0,0,0.5275092,0.64152145,0.61329436,1
451,1,0,0,0.5159631,0.8751678,0.900656,1
452,1,0,0,0.55834246,0.79796934,0.8966979,1
453,0,0,0,0.50210476,0.891365,0.8992157,1
454,0,0,0,0.5411483,0.9065904,0.917591,1
455,0,0,1,0.5040611,0.55799615,0.5457349,1
456,0,0,0,0.51455903,0.7951422,0.851792,1
457,1,0,0,0.5242653,0.73181486,0.82457983,1
458,1,0,0,0.5210254,0.5774122,0.6141393,1
459,0,0,0,0.52408725,0.66035634,0.65866166,1
460,0,0,0,0.5172546,0.8204935,0.88864654,1
461,0,1,0,0.5183231,0.5210545,0.64673287,1
462,0,0,0,0.5051303,0.9037791,0.9332565,1
463,1,0,0,0.53583163,0.7113538,0.8167986,1
464,1,1,0,0.55286974,0.6431787,0.53830075,1
465,1,0,0,0.5490632,0.69085556,0.7818054,1
466,1,1,0,0.5363945,0.59737813,0.6602465,1
467,1,0,0,0.5297161,0.90340406,0.9240129,1
468,0,1,0,0.5169446,0.5394302,0.65133953,1
469,1,0,0,0.5453487,0.6931016,0.6980956,1
470,0,0,0,0.5303042,0.8209505,0.8676475,1
471,0,0,0,0.5181829,0.53150994,0.61143225,1
472,0,0,0,0.5170288,0.61212444,0.6198422,1
473,0,0,0,0.5472309,0.7010131,0.7498519,1
474,1,0,0,0.5283175,0.81090957,0.7325182,1
475,1,0,0,0.5110606,0.8217156,0.85862434,1
476,1,0,1,0.5362309,0.527226,0.6559465,1
477,1,0,0,0.5030262,0.68584,0.73370856,1
478,0,0,0,0.51583636,0.7828316,0.8403253,1
479,1,0,0,0.5412346,0.6442423,0.61025715,1
480,0,0,0,0.50295657,0.88019073,0.91871387,1
481,1,1,1,0.53890043,0.7354982,0.763235,1
482,1,1,0,0.5444886,0.5986383,0.54227644,1
483,1,1,1,0.5151832,0.7500625,0.8862015,1
484,0,0,0,0.5172143,0.723203,0.8680634,1
485,1,0,0,0.54604036,0.8996234,0.9346413,1
486,1,0,0,0.5401007,0.5707933,0.7110678,1
487,1,0,0,0.5350953,0.83095884,0.88321596,1
488,0,0,0,0.5234729,0.75492215,0.7232163,1
489,0,0,0,0.5264727,0.83947814,0.8835751,1
490,1,0,0,0.5510746,0.52343667,0.5353103,1
491,1,0,0,0.51768386,0.61686844,0.74636847,1
492,1,0,0,0.51951694,0.52979845,0.7042924,1
493,1,0,0,0.5074188,0.81154567,0.8651653,1
494,1,0,0,0.5010668,0.8077449,0.85817534,1
495,0,0,0,0.53500897,0.8805424,0.8824136,1
496,1,1,0,0.5000356,0.6032838,0.53355294,1
497,1,1,1,0.51784164,0.60854584,0.5686746,1
498,0,0,0,0.5329013,0.69662553,0.7514196,1
